pre,post,name,per_rep,per_lib,per_region
p1_L1_RPE,p1_L1_hela_rep1,p1_L1_hela_vs_RPE_rep1,p1_L1_hela_vs_RPE_rep1,p1_L1_hela_vs_RPE,rP1
p1_L1_RPE,p1_L1_hela_rep2,p1_L1_hela_vs_RPE_rep2,p1_L1_hela_vs_RPE_rep2,p1_L1_hela_vs_RPE,rP1
p1_L1_RPE,p1_L1_hela_rep3,p1_L1_hela_vs_RPE_rep3,p1_L1_hela_vs_RPE_rep3,p1_L1_hela_vs_RPE,rP1
p1_L1_RPE,p1_L1_hela_rep4,p1_L1_hela_vs_RPE_rep4,p1_L1_hela_vs_RPE_rep4,p1_L1_hela_vs_RPE,rP1
p1_L2_RPE,p1_L2_hela_rep1,p1_L2_hela_vs_RPE_rep1,p1_L2_hela_vs_RPE_rep1,p1_L2_hela_vs_RPE,rP1
p1_L2_RPE,p1_L2_hela_rep2,p1_L2_hela_vs_RPE_rep2,p1_L2_hela_vs_RPE_rep2,p1_L2_hela_vs_RPE,rP1
p1_L2_RPE,p1_L2_hela_rep3,p1_L2_hela_vs_RPE_rep3,p1_L2_hela_vs_RPE_rep3,p1_L2_hela_vs_RPE,rP1
p1_L2_RPE,p1_L2_hela_rep4,p1_L2_hela_vs_RPE_rep4,p1_L2_hela_vs_RPE_rep4,p1_L2_hela_vs_RPE,rP1
